vehicle,arm,episode,Sharpe,Martin,MaxDD,Turnover/yr,Flips/yr,group,Return,peak,trough,react_day,DD_before_reaction,days_peak_to_trough,w_at_peak,panel
P0 MKT,incumbent,FULL,0.6000682581147649,1.184939619974874,-0.30925589783833873,2.2723784277420433,1.7198933850254423,,,,,,,,,P0
P0 MKT,incumbent,E_bear_2018q4,-1.6344304427900773,,-0.06802206002059918,,,modern_folds,-0.04015215952754003,2018-09-20,2018-10-11,,-0.06802206002059918,16.0,1.0,P0
P0 MKT,incumbent,X_2020_covid,1.1987557680219754,,-0.08222259128229248,,,modern_folds,0.10146292371989252,2020-02-19,2020-02-28,2020-02-28,-0.08222259128229248,8.0,0.8557398502655108,P0
P0 MKT,incumbent,B_bear_2022,-2.1679328200035846,,-0.05494146463440286,,,modern_folds,-0.04066054472919389,2022-01-03,2022-08-24,2022-01-20,-0.03593083037600775,162.0,0.5565109065486581,P0
P0 MKT,incumbent,E1973_oil_bear,-1.9165370400446016,,-0.11580341132620231,,,market_factor_A0_calendar,-0.018293164040985244,1973-01-11,1973-11-07,1973-03-23,-0.11253756667842119,209.0,1.0,P0
P0 MKT,incumbent,E1987_crash,-0.6242441629408162,,-0.06139283765887882,,,market_factor_A0_calendar,0.004397020580227284,1987-08-25,1987-10-13,1987-09-21,-0.05341560040762228,35.0,0.8620315890779868,P0
P0 MKT,incumbent,E1990_recession,0.09764324854939462,,-0.03576539262682721,,,market_factor_A0_calendar,0.06371655242543595,1990-07-16,1990-07-27,,-0.03576539262682721,10.0,0.8494312885800077,P0
P0 MKT,incumbent,E1997_asia,0.423927167733965,,-0.0704397198003236,,,market_factor_A0_calendar,0.05507963516606429,1997-10-07,1997-10-27,,-0.0704397198003236,15.0,0.6988347731516081,P0
P0 MKT,incumbent,E1998_ltcm,-0.11258085685269793,,-0.07870826999375069,,,market_factor_A0_calendar,0.01782558795722422,1998-07-17,1998-08-05,1998-08-05,-0.07870826999375069,14.0,0.7306490263121221,P0
P0 MKT,incumbent,E2000_02_dotcom,-0.7073626800980651,,-0.03010624145117835,,,market_factor_A0_calendar,0.07930241579013408,2000-07-03,2000-07-27,2000-07-07,-0.006800686721731286,18.0,0.42455999175653913,P0
P0 MKT,incumbent,E2007_09_gfc,-0.32074741500009324,,-0.0855485734775463,,,market_factor_A0_calendar,-0.0066214996659770264,2007-10-09,2008-01-22,,-0.0855485734775463,72.0,0.6139776556004788,P0
P0 MKT,incumbent,E2011_eu_us,-1.0856867979269482,,-0.11759029282910527,,,market_factor_A0_calendar,-0.08131235501170064,2011-05-02,2011-10-03,2011-08-05,-0.0869103455452741,108.0,0.9096460222973562,P0
P0 MKT,incumbent,E2015_16_china,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P0
P0 MKT,incumbent,K1995_99_bull,1.0757924613613357,,-0.10321033558536352,,,calm_controls,1.0222650735715235,1999-07-16,1999-10-15,1999-08-10,-0.061904514262706045,65.0,0.6785500668650531,P0
P0 MKT,incumbent,K2013_14_bull,1.2560083382339036,,-0.05282843058320319,,,calm_controls,0.2558956324864945,2014-01-15,2014-02-03,,-0.05282843058320319,13.0,1.0,P0
P0 MKT,incumbent,A_bull_2021,1.2621937619180383,,-0.04841861911750178,,,calm_controls,0.13283476056786836,2021-11-08,2021-12-01,,-0.04841861911750178,17.0,0.8683414935778978,P0
P0 MKT,incumbent,D_recent_2025plus,0.6196015458565328,,-0.07297460621852914,,,calm_controls,0.15497194002973536,2025-02-19,2025-03-14,2025-03-14,-0.07297460621852914,18.0,0.7565083526360216,P0
P0 MKT,E_2s,FULL,0.5881686267738263,1.1182550768220727,-0.31043888936286446,2.4810467174604,1.9844923673370487,,,,,,,,,P0
P0 MKT,E_2s,E_bear_2018q4,-1.6344304427900773,,-0.06802206002059918,,,modern_folds,-0.04015215952754003,2018-09-20,2018-10-11,,-0.06802206002059918,16.0,1.0,P0
P0 MKT,E_2s,X_2020_covid,1.1987557680219754,,-0.08222259128229248,,,modern_folds,0.10146292371989252,2020-02-19,2020-02-28,2020-02-28,-0.08222259128229248,8.0,0.8557398502655108,P0
P0 MKT,E_2s,B_bear_2022,-2.1679328200035846,,-0.05494146463440286,,,modern_folds,-0.04066054472919389,2022-01-03,2022-08-24,2022-01-20,-0.03593083037600775,162.0,0.5565109065486581,P0
P0 MKT,E_2s,E1973_oil_bear,-2.203604048110701,,-0.10509522830619422,,,market_factor_A0_calendar,-0.006404069911802535,1973-01-11,1973-11-07,1973-02-05,-0.059351741025729154,209.0,1.0,P0
P0 MKT,E_2s,E1987_crash,-0.6242441629408162,,-0.06139283765887882,,,market_factor_A0_calendar,0.004397020580227284,1987-08-25,1987-10-13,1987-09-21,-0.05341560040762228,35.0,0.8620315890779868,P0
P0 MKT,E_2s,E1990_recession,0.09764324854939462,,-0.03576539262682721,,,market_factor_A0_calendar,0.06371655242543595,1990-07-16,1990-07-27,,-0.03576539262682721,10.0,0.8494312885800077,P0
P0 MKT,E_2s,E1997_asia,0.423927167733965,,-0.0704397198003236,,,market_factor_A0_calendar,0.05507963516606429,1997-10-07,1997-10-27,,-0.0704397198003236,15.0,0.6988347731516081,P0
P0 MKT,E_2s,E1998_ltcm,-0.11258085685269793,,-0.07870826999375069,,,market_factor_A0_calendar,0.01782558795722422,1998-07-17,1998-08-05,1998-08-05,-0.07870826999375069,14.0,0.7306490263121221,P0
P0 MKT,E_2s,E2000_02_dotcom,-0.7073626800980651,,-0.03010624145117835,,,market_factor_A0_calendar,0.07930241579013408,2000-07-03,2000-07-27,2000-07-07,-0.006800686721731286,18.0,0.42455999175653913,P0
P0 MKT,E_2s,E2007_09_gfc,-0.32074741500009324,,-0.0855485734775463,,,market_factor_A0_calendar,-0.0066214996659770264,2007-10-09,2008-01-22,,-0.0855485734775463,72.0,0.6139776556004788,P0
P0 MKT,E_2s,E2011_eu_us,-1.0856867979269482,,-0.11759029282910527,,,market_factor_A0_calendar,-0.08131235501170064,2011-05-02,2011-10-03,2011-08-05,-0.0869103455452741,108.0,0.9096460222973562,P0
P0 MKT,E_2s,E2015_16_china,,,0.0,,,market_factor_A0_calendar,0.0,2015-06-01,2015-06-01,,0.0,1.0,0.0,P0
P0 MKT,E_2s,K1995_99_bull,1.105669872426046,,-0.09380922285899207,,,calm_controls,1.0412111620952405,1999-07-16,1999-10-15,1999-08-10,-0.061904514262706045,65.0,0.6785500668650531,P0
P0 MKT,E_2s,K2013_14_bull,1.2560083382339036,,-0.05282843058320319,,,calm_controls,0.2558956324864945,2014-01-15,2014-02-03,,-0.05282843058320319,13.0,1.0,P0
P0 MKT,E_2s,A_bull_2021,1.2621937619180383,,-0.04841861911750178,,,calm_controls,0.13283476056786836,2021-11-08,2021-12-01,,-0.04841861911750178,17.0,0.8683414935778978,P0
