state,ticker,count,frequency,own mean (ann.),own vol (ann.),own skewness,own up frequency
Bull,SPY,4829.0,0.5886153096050707,0.08923378665483192,0.1272855761736974,-0.6909433657331047,0.5437978877614413
Correction,SPY,2000.0,0.24378352023403219,0.20703504608025855,0.2105922857245766,-0.8157207925835852,0.555
Bear,SPY,753.0,0.09178449536811312,0.13060773468724027,0.3556467606376317,0.612291567067109,0.5219123505976095
Rebound,SPY,622.0,0.075816674792784,0.0776650197027316,0.20697935520559757,-0.028322760879998833,0.5064308681672026
Bull,QQQ,3686.0,0.5532873011107775,0.13313512200618205,0.1663714117208099,-0.6898908562266314,0.5642973412913728
Correction,QQQ,1736.0,0.26058240768537977,0.07890709615373097,0.29182605028495684,-0.03797114383028617,0.5247695852534562
Bear,QQQ,674.0,0.1011708195737016,0.3124471814172915,0.4675425063196424,0.5830164931293667,0.5148367952522255
Rebound,QQQ,566.0,0.0849594716301411,-0.1655138294451068,0.3482147562184032,0.016525836149309192,0.4929328621908127
Bull,XLK,3651.0,0.5437890974084003,0.12003067253150664,0.1703507038989709,-0.5477403608244947,0.5439605587510271
Correction,XLK,1738.0,0.25886207923741433,0.16142195582192911,0.283048723090596,-0.07716236648188314,0.5287686996547756
Bear,XLK,756.0,0.1126005361930295,0.15478764389856375,0.43594203778767415,0.7497565592187255,0.49603174603174605
Rebound,XLK,569.0,0.08474828716115579,-0.08014253396257319,0.3299624921788441,0.0943158236665596,0.4903339191564148
Bull,IWM,3179.0,0.5003147623544224,0.06918834253061798,0.1754787250227668,-0.21779104679236974,0.5234350424661843
Correction,IWM,1589.0,0.2500786905886056,0.17719080242027405,0.22522302342604403,-0.3172205826355706,0.5475141598489616
Bear,IWM,858.0,0.13503305004721436,-0.009429735386801804,0.3932381922820756,-0.27560547382868994,0.5046620046620046
Rebound,IWM,728.0,0.11457349700975764,0.2946526088589454,0.2502453058640579,0.04663814673475589,0.5631868131868132
Bull,EFA,3037.0,0.5023986765922249,0.05846741651451261,0.13500954413648836,-0.424239517848836,0.5242015146526177
Correction,EFA,1341.0,0.2218362282878412,0.09654103712859992,0.20265958990169486,-0.6879596701662388,0.5495898583146905
Bear,EFA,898.0,0.14855252274607114,0.12050121946100702,0.35110475163417776,0.2638714331623753,0.5033407572383074
Rebound,EFA,769.0,0.1272125723738627,0.20298129664390674,0.2223542574067454,-0.22035213367634313,0.5448634590377113
Bull,EEM,2702.0,0.47967335345286705,0.09018636946505999,0.1890734769899068,-0.4129051112149887,0.5251665433012583
Correction,EEM,1398.0,0.24818036570211255,0.20659941511962704,0.2620513661823924,-0.12767060127755597,0.542203147353362
Bear,EEM,901.0,0.15995029291674062,0.07797519189575891,0.43568441416539394,1.0334593263875778,0.516093229744728
Rebound,EEM,632.0,0.11219598792827978,0.04659137600570942,0.3072970963021643,-0.49681765281379936,0.5079113924050633
Bull,TLT,2185.0,0.3760110135949062,0.03827602959836322,0.1515708210314069,0.2823611957802017,0.5052631578947369
Correction,TLT,1648.0,0.2836000688349682,0.029023825623991056,0.1389591337996169,-0.18648267025798534,0.5242718446601942
Bear,TLT,1042.0,0.17931509206676993,0.057118111006998665,0.14482350435450658,-0.03605882290630368,0.527831094049904
Rebound,TLT,936.0,0.1610738255033557,0.061899632426411236,0.12970414152997545,0.059697536100245516,0.5128205128205128
Bull,GLD,2414.0,0.46165614840313635,0.12403791487486521,0.1979776249439478,-0.6323874552931238,0.5376967688483845
Correction,GLD,1398.0,0.26735513482501433,0.13613869456936,0.18497105301614636,0.22133441318906621,0.5429184549356223
Bear,GLD,826.0,0.15796519410977242,0.1488449722528101,0.17018304236666196,-0.5369051841284572,0.5326876513317191
Rebound,GLD,591.0,0.11302352266207688,0.025833613186184143,0.14646011177236212,1.0485623927236996,0.47715736040609136
