year,selected,selection Sharpe
2009,cells r10/t5,0.765
2010,joint2f K=4 λ=20,0.951
2011,joint3f K=4 λ=20,1.084
2012,joint2f K=4 λ=20,0.747
2013,joint2f K=4 λ=20,0.856
2014,joint2f K=4 λ=20,0.887
2015,joint2f K=4 λ=20,0.823
2016,joint2f K=4 λ=20,0.722
2017,joint2f K=4 λ=20,0.745
2018,joint2f K=4 λ=20,0.752
2019,joint2f K=4 λ=20,0.714
2020,joint2f K=4 λ=20,0.72
2021,joint2f K=4 λ=20,0.844
2022,joint2f K=4 λ=20,0.8
2023,joint3f K=4 λ=5,0.668
2024,joint3f K=4 λ=5,0.65
2025,joint3f K=4 λ=5,0.638
2026,joint3f K=4 λ=5,0.603
