IWM,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.12126147546412613,0.23067662958453952,0.5548336652401581,-0.41135928525845533,11.523189923484699,1.054373876459734,1.0,0.0
fixed risk λ=50,0.05222154635766585,0.16694648802723588,0.3094236559493601,-0.494257379300339,23.46688116084084,0.22295272503283822,0.6653915391539154,0.8505850585058505
fixed trend λ=5,0.07904485237819237,0.1470535230343665,0.500911923426324,-0.28919265271251593,7.337677421527526,1.0793037190019972,0.5288028802880288,1.4176417641764176
fixed graded r50/t5,0.06830422879042342,0.14052122256605365,0.44630345747763456,-0.2972395120638439,9.581607015566517,0.7142230209768065,0.5970972097209721,1.0774077407740774
fixed gate r50/t5,0.0615782258062505,0.12833559037298062,0.426528318769853,-0.24476719350704834,8.050353156011662,0.7663625448472365,0.46647164716471645,1.3609360936093609
fixed and r50/t5,0.042608295549313446,0.12147552443791412,0.29484897858490855,-0.2742015968768722,12.7900175268324,0.33376264717936455,0.40414041404140416,1.304230423042304
fixed or r50/t5,0.08911641510732071,0.18637718515128104,0.4808261145009374,-0.4212209090092085,10.833667716510458,0.8241660163228365,0.79005400540054,0.8505850585058505
cells r50/t5 (annual sizing),0.03807880462433055,0.11842853565548082,0.2631446030949564,-0.3640138331618108,9.230489297785368,0.41330582979335356,0.4097156936403216,0.9511086517403954
joint2f K=2 λ=5 (annual sizing),0.08417499137129969,0.19923603095284903,0.43934672636318445,-0.40121739383394517,12.001820119067446,0.7026945852886587,0.8787661372746338,0.6422918582836012
joint3f K=4 λ=5 (annual sizing),0.07313140915050576,0.12573078581409755,0.5187142697241679,-0.21311270048385744,6.5214562960723175,1.1235329194026507,0.4623444575011142,3.320315662920582
selected annually (all candidates),0.05441149013411728,0.12104484122171529,0.38852652041365116,-0.2964975951931237,7.876127746707786,0.6921450925599233,0.39060610269022883,1.818144596197192
