MKT (Fama-French),CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.11368306435494047,0.18932261165638783,0.5371612803049959,-0.5456553593385385,15.220793295332314,0.7479540891691284,1.0,0.0
fixed risk λ=50,0.08081443655018505,0.0985479705033773,0.59464932098415,-0.2188662238644994,5.4901546312733505,1.4740485898906728,0.4971608832807571,0.7631545741324921
fixed trend λ=5,0.11313994534045291,0.11856222973315071,0.761614549541039,-0.20308346069341676,4.919430940226318,2.3031244507724673,0.6658675078864353,1.8124921135646688
fixed graded r50/t5,0.09835595242788342,0.09569143442878482,0.7780276205387926,-0.18697949540098824,3.775842633214633,2.608549194974539,0.5815141955835962,1.2878233438485804
fixed gate r50/t5,0.09507757621461188,0.09132710273876692,0.7779571864357424,-0.18697949540098813,3.3189345358670566,2.868737322992443,0.5312302839116719,1.27192429022082
fixed and r50/t5,0.0752501457793977,0.08025172225967152,0.6454514682103563,-0.19846468606952838,3.7332319027453105,2.018497691327785,0.3965930599369085,0.7313564668769715
fixed or r50/t5,0.118900311287637,0.13162935072833382,0.7377024709858278,-0.24733467926049124,6.488751373809784,1.8350154784486872,0.766435331230284,1.8442902208201892
cells r50/t5 (annual sizing),0.09250214710079718,0.11367962042389256,0.6243836793019628,-0.24477095718363406,7.364635038829814,1.2577989928820135,0.6331046133186066,1.2675620558643268
joint2f K=2 λ=5 (annual sizing),0.10474065095414908,0.13667992062828668,0.6220943564749452,-0.31750707182042703,10.592731871380645,0.9901963198681665,0.8067345511656293,0.7807084961210745
joint3f K=4 λ=5 (annual sizing),0.0822376425125384,0.11582641243400496,0.5333199002280057,-0.29889570920633424,8.357103143876142,0.9854230383750301,0.6747279196500501,3.892858951563037
selected annually (all candidates),0.086298387468287,0.1045103724896462,0.6149901701948093,-0.18663384400199445,4.544186009028403,1.90175920469429,0.5717108661979432,1.4372635793565618
