QQQ,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.16045209213070732,0.22419669884963433,0.7161968834192407,-0.49999999999999967,11.99246358410185,1.3402988312476096,1.0,0.0
fixed risk λ=50,0.09792447903700441,0.13251184581908604,0.6693017703516567,-0.2276767374985995,5.489398467242916,1.7869429590402008,0.5499254843517138,0.6974664679582713
fixed trend λ=5,0.145086869687447,0.1474333754353389,0.9017643782292517,-0.19456995917726594,5.531489718778861,2.627518006609473,0.6629763678944007,1.7704918032786885
fixed graded r50/t5,0.12293846759531046,0.12900371025425186,0.859042969142895,-0.17601206420158633,4.523282226530055,2.72261714044619,0.6064509261230573,1.23397913561848
fixed gate r50/t5,0.1132858686543623,0.12521234381398993,0.8121206791532031,-0.19440920109877402,4.994618812506164,2.272075046575843,0.5655737704918032,1.6631892697466468
fixed and r50/t5,0.0801687766673751,0.11692881565894163,0.6023018121733819,-0.1944092010987738,6.267040572873565,1.2813889234509899,0.46817117308920586,1.555886736214605
fixed or r50/t5,0.16390968894007352,0.1600455479100699,0.9448236380132288,-0.22767673749859985,5.220599197179663,3.14521289511356,0.7447306791569087,0.9120715350223547
cells r50/t5 (annual sizing),0.0938129721578922,0.10802383013267093,0.7590536613645319,-0.19374906656368474,3.899661663763259,2.4097876167022942,0.39451086619745857,1.2465338827416377
joint2f K=2 λ=5 (annual sizing),0.14320574355169757,0.15311630439835291,0.8631461333510727,-0.20803160662422027,7.6348515032719835,1.8789660410473499,0.7331509227167039,1.1137553966954707
joint3f K=4 λ=5 (annual sizing),0.07914269255041084,0.1589814963525067,0.47366887750800013,-0.29295993559691447,9.07516952145,0.8735624226841909,0.5898295330362726,3.373839242091234
selected annually (all candidates),0.08420464574268371,0.1257630424958518,0.5981606816401367,-0.22767673749859996,6.169489410142445,1.3671822334452344,0.46448631372608745,2.010110127893711
