year,selected,selection Sharpe
2002,joint3f K=4 λ=20,0.629
2003,cells r10/t2,0.34
2004,cells r100/t20,0.861
2005,cells r20/t20,0.716
2006,cells r20/t20,0.587
2007,cells r50/t20,0.655
2008,cells r50/t20,0.595
2009,and r50/t20,0.561
2010,cells r50/t20,0.535
2011,joint3f K=2 λ=20,0.556
2012,joint3f K=2 λ=20,0.468
2013,joint3f K=2 λ=20,0.53
2014,joint3f K=2 λ=20,0.666
2015,joint3f K=2 λ=20,0.698
2016,joint2f K=4 λ=20,0.65
2017,joint2f K=4 λ=20,0.636
2018,joint2f K=4 λ=20,0.738
2019,joint3f K=2 λ=20,0.671
2020,joint2f K=4 λ=20,0.672
2021,gate r50/t10,0.635
2022,gate r50/t10,0.676
2023,gate r50/t10,0.64
2024,gate r50/t10,0.636
2025,gate r50/t10,0.677
2026,cells r100/t10,0.672
