SPY,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.09976898385633981,0.18930000573840727,0.5090428621577328,-0.5519076395778836,12.59225166736497,0.7935551230873091,1.0,0.0
fixed risk λ=50,0.06267588305112448,0.10642363040806904,0.46734299072050856,-0.3168211920529802,7.090985617056471,0.8852527697375397,0.5695182858063477,0.6089898501691638
fixed trend λ=5,0.09863627293244992,0.11640070427639705,0.7233470164487382,-0.18613348676639696,5.0291943958792595,1.9643679008181287,0.6827775092637345,1.3397776703721604
fixed graded r50/t5,0.08184256621971331,0.09979231262721398,0.6710675248915628,-0.18613348676639763,4.245694308463857,1.9306783828163532,0.6261478975350411,0.9743837602706622
fixed gate r50/t5,0.08313351660386625,0.09487961018962686,0.7134118755857575,-0.18613348676639752,3.588497052006197,2.320295914431435,0.5741904301594973,1.096181730304495
fixed and r50/t5,0.06622754308460244,0.08655912743780182,0.5912533556926436,-0.18613348676639785,3.410005173609987,1.9451726595341012,0.4656033510552602,0.8525857902368295
fixed or r50/t5,0.0949766577150315,0.13184463205376587,0.6277022639428752,-0.3168211920529802,7.885563708933652,1.2063341191002876,0.786692444014822,1.096181730304495
cells r50/t5 (annual sizing),0.07418811922786706,0.09053382005051656,0.651516035874432,-0.18613348676639774,3.7522531996258572,1.9802465358066053,0.5332686210007234,1.0103439094783786
joint2f K=2 λ=5 (annual sizing),0.08893053048876176,0.11273392515087682,0.6643266813658886,-0.18613348676639763,5.416717760963213,1.6443576615810789,0.6818416331081258,0.9275686890973915
joint3f K=4 λ=5 (annual sizing),0.04904732074351559,0.10552904121904759,0.3480205417346199,-0.25871172853875146,10.228705611985788,0.48024599294786224,0.6511746420451321,2.604850863492889
selected annually (all candidates),0.06544230283668973,0.10754931857316688,0.48788795512067634,-0.25637230317570114,7.758709567388284,0.8447795318778989,0.5976299662001272,1.0452817107853167
