XLK,CAGR,Vol,Sharpe,MaxDD,Ulcer%,Martin,Time in,Turnover/yr
Buy & hold,0.16545564704672322,0.23392964828053694,0.707194980589751,-0.530741410488246,12.98921894878805,1.2759656646119077,1.0,0.0
fixed risk λ=50,0.0971303053415955,0.13953668971767885,0.6254496909487984,-0.2565597667638485,6.204703602455202,1.568023405926917,0.5584074373484236,0.5602263540824575
fixed trend λ=5,0.12459673082620615,0.16160041536605274,0.7142577751794986,-0.29171633032009003,7.583144004977263,1.6458299567982062,0.6940177849636217,2.037186742118027
fixed graded r50/t5,0.11290449478428721,0.13772419991675006,0.7358800556897105,-0.19780226753582208,5.892567792093671,1.9192455330083829,0.6262126111560227,1.2987065481002424
fixed gate r50/t5,0.10475291785580176,0.13377273381150503,0.698576491009083,-0.22092096744712586,6.439774425035781,1.6293588952660132,0.5836701697655619,1.6042845594179465
fixed and r50/t5,0.0822645909732529,0.12313938051432459,0.5804538938445819,-0.22092096744712564,7.104706168607056,1.1597939208089163,0.473322554567502,1.1713823767178657
fixed or r50/t5,0.1400439088263663,0.1744028744536166,0.7524020124672267,-0.2917163303200896,6.93344659941664,2.023240679479665,0.7791026677445433,1.4260307194826192
cells r50/t5 (annual sizing),0.08076387714975564,0.12655248063965283,0.556952296243974,-0.2111577554739985,7.021415356683729,1.1521420097977375,0.4950905998285521,1.4443108410025163
joint2f K=2 λ=5 (annual sizing),0.13694086607053735,0.17107833279480228,0.7477159377064555,-0.26804569091760644,8.313492629975451,1.6499891055084888,0.7748525811479343,1.2960978130232979
joint3f K=4 λ=5 (annual sizing),0.10168117319788061,0.12017586271405797,0.7398546304700298,-0.18371668738504277,6.358399577675209,1.6018174705094521,0.47349251238898443,4.230721759702679
selected annually (all candidates),0.04906236268340769,0.12478991026476648,0.32409131182123724,-0.26955453164011434,9.53118699067595,0.5155900707043402,0.3851081459343167,2.20482043441014
